gene,coef,abs_coef
MIR4508,1.0361495205493698,1.0361495205493698
SEMA5B,0.8636693579589706,0.8636693579589706
HSD17B6,0.4109790020384694,0.4109790020384694
HBB,-0.38777312289943916,0.38777312289943916
PPAPDC1A,0.37745114976981875,0.37745114976981875
NAALAD2,-0.3680567310520691,0.3680567310520691
IGFBP6,-0.3547651196330353,0.3547651196330353
SLC50A1,0.3487843973674142,0.3487843973674142
COL10A1,0.3380793849403081,0.3380793849403081
KLHL33,-0.3328873714561519,0.3328873714561519
GSN,-0.30046640490129717,0.30046640490129717
CCL11,0.29972521793292944,0.29972521793292944
CILP2,0.2850433494629093,0.2850433494629093
CLEC3B,-0.2725758140526836,0.2725758140526836
ADAMTS5,-0.25868119911516535,0.25868119911516535
TNXB,-0.25706624394250294,0.25706624394250294
NUAK2,0.2519110121946553,0.2519110121946553
SLC24A2,0.24582050850468776,0.24582050850468776
MMP11,0.2434406760390284,0.2434406760390284
C1QTNF9,-0.24229987639505696,0.24229987639505696
SPTBN1,-0.23481768064357522,0.23481768064357522
PAMR1,-0.23341786968131065,0.23341786968131065
NPR1,-0.22836574483592792,0.22836574483592792
PPP1R12B,-0.2268166123163906,0.2268166123163906
LOC283867,0.2195716717633944,0.2195716717633944
